================ Training Loss (Mon Sep  2 22:29:56 2024) ================
(epoch: 5, iters: 4, time: 0.995, data: 4.465) D_A: 0.263 G_A: 0.325 cycle_A: 2.004 idt_A: 0.538 D_B: 0.615 G_B: 0.338 cycle_B: 1.155 idt_B: 0.982 
(epoch: 9, iters: 8, time: 1.003, data: 0.002) D_A: 0.234 G_A: 0.287 cycle_A: 2.673 idt_A: 1.099 D_B: 0.204 G_B: 0.246 cycle_B: 2.348 idt_B: 1.397 
(epoch: 13, iters: 12, time: 1.005, data: 0.001) D_A: 0.225 G_A: 0.393 cycle_A: 1.275 idt_A: 1.092 D_B: 0.359 G_B: 0.468 cycle_B: 1.995 idt_B: 0.634 
(epoch: 17, iters: 16, time: 3.531, data: 0.002) D_A: 0.218 G_A: 0.383 cycle_A: 1.669 idt_A: 0.737 D_B: 0.150 G_B: 0.290 cycle_B: 1.732 idt_B: 0.834 
(epoch: 21, iters: 20, time: 1.018, data: 0.001) D_A: 0.274 G_A: 0.534 cycle_A: 2.016 idt_A: 1.273 D_B: 0.302 G_B: 1.003 cycle_B: 2.402 idt_B: 0.992 
(epoch: 25, iters: 24, time: 1.014, data: 0.003) D_A: 0.209 G_A: 0.369 cycle_A: 2.678 idt_A: 1.271 D_B: 0.110 G_B: 0.645 cycle_B: 2.236 idt_B: 1.320 
(epoch: 30, iters: 4, time: 1.003, data: 6.142) D_A: 0.166 G_A: 0.555 cycle_A: 1.673 idt_A: 0.756 D_B: 0.052 G_B: 0.663 cycle_B: 1.599 idt_B: 0.867 
(epoch: 34, iters: 8, time: 4.805, data: 0.002) D_A: 0.235 G_A: 1.107 cycle_A: 2.681 idt_A: 1.054 D_B: 0.108 G_B: 0.597 cycle_B: 1.870 idt_B: 1.438 
(epoch: 38, iters: 12, time: 1.011, data: 0.003) D_A: 0.376 G_A: 0.305 cycle_A: 1.422 idt_A: 0.432 D_B: 0.212 G_B: 0.343 cycle_B: 0.987 idt_B: 0.732 
(epoch: 42, iters: 16, time: 1.013, data: 0.002) D_A: 0.200 G_A: 0.436 cycle_A: 1.287 idt_A: 0.762 D_B: 0.374 G_B: 0.155 cycle_B: 1.493 idt_B: 0.633 
(epoch: 46, iters: 20, time: 1.007, data: 0.001) D_A: 0.248 G_A: 0.247 cycle_A: 2.037 idt_A: 0.443 D_B: 0.174 G_B: 0.380 cycle_B: 1.084 idt_B: 1.188 
(epoch: 50, iters: 24, time: 5.866, data: 0.002) D_A: 0.277 G_A: 0.333 cycle_A: 0.840 idt_A: 0.407 D_B: 0.191 G_B: 0.175 cycle_B: 0.917 idt_B: 0.420 
(epoch: 55, iters: 4, time: 1.000, data: 6.079) D_A: 0.453 G_A: 0.825 cycle_A: 0.776 idt_A: 0.479 D_B: 0.126 G_B: 0.654 cycle_B: 1.044 idt_B: 0.350 
(epoch: 59, iters: 8, time: 1.002, data: 0.002) D_A: 0.174 G_A: 0.475 cycle_A: 1.503 idt_A: 0.474 D_B: 0.138 G_B: 0.214 cycle_B: 1.023 idt_B: 0.749 
(epoch: 63, iters: 12, time: 1.008, data: 0.002) D_A: 0.198 G_A: 0.184 cycle_A: 1.547 idt_A: 0.957 D_B: 0.059 G_B: 0.230 cycle_B: 1.847 idt_B: 0.769 
(epoch: 67, iters: 16, time: 6.150, data: 0.003) D_A: 0.145 G_A: 0.405 cycle_A: 0.965 idt_A: 0.325 D_B: 0.139 G_B: 0.491 cycle_B: 0.694 idt_B: 0.515 
(epoch: 71, iters: 20, time: 1.019, data: 0.001) D_A: 0.079 G_A: 0.123 cycle_A: 0.734 idt_A: 1.093 D_B: 0.142 G_B: 0.225 cycle_B: 1.919 idt_B: 0.364 
(epoch: 75, iters: 24, time: 1.014, data: 0.002) D_A: 0.086 G_A: 0.446 cycle_A: 1.128 idt_A: 0.402 D_B: 0.195 G_B: 0.066 cycle_B: 0.954 idt_B: 0.578 
(epoch: 80, iters: 4, time: 1.008, data: 5.965) D_A: 0.300 G_A: 0.885 cycle_A: 1.214 idt_A: 0.349 D_B: 0.173 G_B: 0.370 cycle_B: 0.765 idt_B: 0.582 
(epoch: 84, iters: 8, time: 7.162, data: 0.002) D_A: 0.189 G_A: 0.743 cycle_A: 0.750 idt_A: 0.646 D_B: 0.183 G_B: 0.498 cycle_B: 1.306 idt_B: 0.548 
(epoch: 88, iters: 12, time: 1.016, data: 0.002) D_A: 0.128 G_A: 0.235 cycle_A: 0.820 idt_A: 0.478 D_B: 0.107 G_B: 0.475 cycle_B: 0.900 idt_B: 0.376 
(epoch: 92, iters: 16, time: 1.005, data: 0.002) D_A: 0.311 G_A: 0.241 cycle_A: 0.948 idt_A: 0.867 D_B: 0.269 G_B: 0.474 cycle_B: 1.887 idt_B: 0.395 
(epoch: 96, iters: 20, time: 1.010, data: 0.001) D_A: 0.156 G_A: 0.237 cycle_A: 1.260 idt_A: 0.684 D_B: 0.417 G_B: 0.067 cycle_B: 1.419 idt_B: 0.704 
(epoch: 100, iters: 24, time: 8.097, data: 0.002) D_A: 0.175 G_A: 0.301 cycle_A: 0.818 idt_A: 0.428 D_B: 0.186 G_B: 1.225 cycle_B: 0.879 idt_B: 0.362 
(epoch: 105, iters: 4, time: 1.014, data: 6.205) D_A: 0.049 G_A: 0.438 cycle_A: 0.815 idt_A: 0.357 D_B: 0.074 G_B: 0.541 cycle_B: 0.775 idt_B: 0.388 
(epoch: 109, iters: 8, time: 1.008, data: 0.002) D_A: 0.215 G_A: 0.253 cycle_A: 1.258 idt_A: 0.472 D_B: 0.109 G_B: 0.570 cycle_B: 1.027 idt_B: 0.561 
(epoch: 113, iters: 12, time: 1.004, data: 0.001) D_A: 0.167 G_A: 0.374 cycle_A: 0.768 idt_A: 0.360 D_B: 0.291 G_B: 0.519 cycle_B: 0.755 idt_B: 0.442 
(epoch: 117, iters: 16, time: 9.598, data: 0.003) D_A: 0.253 G_A: 0.375 cycle_A: 0.944 idt_A: 0.986 D_B: 0.274 G_B: 0.306 cycle_B: 1.712 idt_B: 0.316 
(epoch: 121, iters: 20, time: 1.010, data: 0.001) D_A: 0.171 G_A: 0.179 cycle_A: 1.410 idt_A: 0.516 D_B: 0.295 G_B: 0.406 cycle_B: 1.062 idt_B: 0.737 
(epoch: 125, iters: 24, time: 1.014, data: 0.003) D_A: 0.345 G_A: 0.078 cycle_A: 0.744 idt_A: 0.582 D_B: 0.199 G_B: 0.259 cycle_B: 1.195 idt_B: 0.343 
(epoch: 130, iters: 4, time: 1.005, data: 5.981) D_A: 0.123 G_A: 0.284 cycle_A: 0.805 idt_A: 0.262 D_B: 0.070 G_B: 0.483 cycle_B: 0.648 idt_B: 0.435 
(epoch: 134, iters: 8, time: 10.304, data: 0.002) D_A: 0.064 G_A: 0.143 cycle_A: 0.718 idt_A: 0.561 D_B: 0.140 G_B: 0.497 cycle_B: 1.158 idt_B: 0.352 
